product_name,status,baseline_month,coverage,confidence,baseline_price,model_baseline_price,predicted_price,price_delta_pct,predicted_volume,baseline_risk,baseline_risk_score,risk_score,risk
Squash,ok,month 10,india: sourced in 1/10 months,india: single-observation,37.93,41.059762341747316,40.46663422269624,-1.4445483490975075,100526.0,Low,0.23545348949239833,0.21743933371521987,Low
Strawberry,ok,month 10,india: sourced in 5/6 months,india: reliable,550.0,433.293525471664,433.293525471664,0.0,1034.6,Medium,0.5524504467962734,0.5524504467962734,Medium
Sugarcane,ok,month 10,india: sourced in 7/10 months,india: reliable,165.0,165.06606396401313,165.53725278269357,0.28545468848348854,10283.0,Medium,0.37565218620664437,0.2834125675209477,Low
Sweet_Pepper,ok,month 10,india: sourced in 9/10 months,india: reliable,124.78,124.36087874209478,109.53170008844857,-11.924311571004276,107424.13333333333,Low,0.2448249034363718,0.20287945113003417,Low
Sweet_Potato,ok,month 10,india: sourced in 7/8 months,india: reliable,30.0,94.69854711823778,98.99748858301284,4.539606567994681,101103.99999999999,Medium,0.5261317456003382,0.547461806968755,Medium
Sword_Bean,ok,month 10,india: sourced in 5/7 months,india: reliable,150.0,100.31690664598865,94.40414298310193,-5.894084916067488,33339.6,Low,0.130815720638772,0.2246874572755057,Low
Tomato,ok,"month 3 (fallback, no month-10 data)",india: sourced in 1/1 months,india: single-observation,84.86,81.98651734104142,83.37177140636297,1.6896120365245793,521394.0,Low,0.06329459988056296,0.049244200629742156,Low
Tomato_Big,no_applicable_shock,month 10,india: never sourced (7 months present),,,,,,,,,,
Tomato_Small,ok,month 10,india: sourced in 9/10 months,india: reliable,69.39,69.05899783765828,66.44937767535913,-3.778827153608233,655206.9444444445,Low,0.22414379502370124,0.2171038303432917,Low
Turnip,no_applicable_shock,month 10,india: never sourced (9 months present),,,,,,,,,,
Walnut,no_applicable_shock,"month 3 (fallback, no month-10 data)",india: never sourced (1 months present),,,,,,,,,,
Watermelon,ok,month 10,india: sourced in 10/10 months,india: reliable,41.63,46.316152165619904,45.1804174807649,-2.452135230909891,691988.2,Medium,0.37723659610633725,0.271675621515406,Low
Yam,ok,month 10,india: sourced in 2/8 months,india: low-confidence,110.0,110.03397842895984,111.92480253966919,1.7184002048331815,8744.0,Medium,0.37051372368344376,0.43943790900034085,Medium
